enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E393,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E394,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E395,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E396,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E397,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E398,1,0.06666666667,0,0.001445271987,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E399,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E400,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E401,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E402,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E403,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E404,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E405,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E406,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E407,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E408,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E409,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E410,1,0.06666666667,0,0.002196841354,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E411,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E412,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E413,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
